Level	Rule Name	Subject	Property	Value
ERROR	duplicate_definition	PHIPO:0000179	IAO:0000115	A single species hyphal colony morphology phenotype where the size of the colony is decreased.	
ERROR	duplicate_definition	PHIPO:0000181	IAO:0000115	A single species hyphal colony morphology phenotype where the size of the colony is decreased.	
ERROR	duplicate_definition	PHIPO:0000003	IAO:0000115	A single organism phenotype that is observed at the level of a tissue (eg leaf, inflorescence, ear or kidney).	
ERROR	duplicate_definition	PHIPO:0000512	IAO:0000115	A single organism phenotype that is observed at the level of a tissue (eg leaf, inflorescence, ear or kidney).	
ERROR	duplicate_definition	PHIPO:0000237	IAO:0000115	A single organism phenotype that affects the localization of a protein in a cell.	
ERROR	duplicate_definition	PHIPO:0000239	IAO:0000115	A single organism phenotype that affects the localization of a protein in a cell.	
ERROR	duplicate_definition	PHIPO:0000849	IAO:0000115	A phenotype in which a population of a single-species shows increased sensitivity to hydrogen peroxide, manifested as an affect on the extent of population growth.	
ERROR	duplicate_definition	PHIPO:0000943	IAO:0000115	A phenotype in which a population of a single-species shows increased sensitivity to hydrogen peroxide, manifested as an affect on the extent of population growth.	
ERROR	duplicate_definition	PHIPO:0000238	IAO:0000115	A pathogen host interaction phenotype that affects the localization of a protein in a cell.	
ERROR	duplicate_definition	PHIPO:0000240	IAO:0000115	A pathogen host interaction phenotype that affects the localization of a protein in a cell.	
ERROR	multiple_equivalent_classes	PHIPO:0000450	owl:equivalentClass	1de89350ddbad86ae19e5b12004822ec	
ERROR	multiple_equivalent_classes	PHIPO:0000450	owl:equivalentClass	8547ffa3771cf1415786bcfd0cd4e1cd	
ERROR	missing_ontology_description	phipo.owl	dc11:description		
ERROR	duplicate_label	PHIPO:0000849	rdfs:label	sensitive to hydrogen peroxide@en	
ERROR	duplicate_label	PHIPO:0000943	rdfs:label	sensitive to hydrogen peroxide@en	
ERROR	duplicate_label	PHIPO:0000117	rdfs:label	increased pathogen growth after penetraton of the barrier@en	
ERROR	duplicate_label	PHIPO:0000118	rdfs:label	increased pathogen growth after penetraton of the barrier@en	
ERROR	missing_ontology_license	phipo.owl	dc:license		
ERROR	missing_ontology_title	phipo.owl	dc11:title		
WARN	missing_definition	PHIPO:0000038	IAO:0000115		
WARN	missing_definition	PHIPO:0000041	IAO:0000115		
WARN	missing_definition	PHIPO:0000042	IAO:0000115		
WARN	missing_definition	PHIPO:0000070	IAO:0000115		
WARN	missing_definition	PHIPO:0000076	IAO:0000115		
WARN	missing_definition	PHIPO:0000100	IAO:0000115		
WARN	missing_definition	PHIPO:0000101	IAO:0000115		
WARN	missing_definition	PHIPO:0000102	IAO:0000115		
WARN	missing_definition	PHIPO:0000103	IAO:0000115		
WARN	missing_definition	PHIPO:0000121	IAO:0000115		
WARN	missing_definition	PHIPO:0000122	IAO:0000115		
WARN	missing_definition	PHIPO:0000129	IAO:0000115		
WARN	missing_definition	PHIPO:0000157	IAO:0000115		
WARN	missing_definition	PHIPO:0000166	IAO:0000115		
WARN	missing_definition	PHIPO:0000169	IAO:0000115		
WARN	missing_definition	PHIPO:0000170	IAO:0000115		
WARN	missing_definition	PHIPO:0000184	IAO:0000115		
WARN	missing_definition	PHIPO:0000198	IAO:0000115		
WARN	missing_definition	PHIPO:0000200	IAO:0000115		
WARN	missing_definition	PHIPO:0000213	IAO:0000115		
WARN	missing_definition	PHIPO:0000215	IAO:0000115		
WARN	missing_definition	PHIPO:0000216	IAO:0000115		
WARN	missing_definition	PHIPO:0000275	IAO:0000115		
WARN	missing_definition	PHIPO:0000276	IAO:0000115		
WARN	missing_definition	PHIPO:0000279	IAO:0000115		
WARN	missing_definition	PHIPO:0000293	IAO:0000115		
WARN	missing_definition	PHIPO:0000294	IAO:0000115		
WARN	missing_definition	PHIPO:0000304	IAO:0000115		
WARN	missing_definition	PHIPO:0000344	IAO:0000115		
WARN	missing_definition	PHIPO:0000345	IAO:0000115		
WARN	missing_definition	PHIPO:0000347	IAO:0000115		
WARN	missing_definition	PHIPO:0000348	IAO:0000115		
WARN	missing_definition	PHIPO:0000399	IAO:0000115		
WARN	missing_definition	PHIPO:0000401	IAO:0000115		
WARN	missing_definition	PHIPO:0000403	IAO:0000115		
WARN	missing_definition	PHIPO:0000404	IAO:0000115		
WARN	missing_definition	PHIPO:0000408	IAO:0000115		
WARN	missing_definition	PHIPO:0000411	IAO:0000115		
WARN	missing_definition	PHIPO:0000417	IAO:0000115		
WARN	missing_definition	PHIPO:0000425	IAO:0000115		
WARN	missing_definition	PHIPO:0000426	IAO:0000115		
WARN	missing_definition	PHIPO:0000427	IAO:0000115		
WARN	missing_definition	PHIPO:0000428	IAO:0000115		
WARN	missing_definition	PHIPO:0000429	IAO:0000115		
WARN	missing_definition	PHIPO:0000439	IAO:0000115		
WARN	missing_definition	PHIPO:0000440	IAO:0000115		
WARN	missing_definition	PHIPO:0000441	IAO:0000115		
WARN	missing_definition	PHIPO:0000442	IAO:0000115		
WARN	missing_definition	PHIPO:0000443	IAO:0000115		
WARN	missing_definition	PHIPO:0000444	IAO:0000115		
WARN	missing_definition	PHIPO:0000446	IAO:0000115		
WARN	missing_definition	PHIPO:0000447	IAO:0000115		
WARN	missing_definition	PHIPO:0000448	IAO:0000115		
WARN	missing_definition	PHIPO:0000449	IAO:0000115		
WARN	missing_definition	PHIPO:0000467	IAO:0000115		
WARN	missing_definition	PHIPO:0000468	IAO:0000115		
WARN	missing_definition	PHIPO:0000469	IAO:0000115		
WARN	missing_definition	PHIPO:0000471	IAO:0000115		
WARN	missing_definition	PHIPO:0000472	IAO:0000115		
WARN	missing_definition	PHIPO:0000473	IAO:0000115		
WARN	missing_definition	PHIPO:0000506	IAO:0000115		
WARN	missing_definition	PHIPO:0000507	IAO:0000115		
WARN	missing_definition	PHIPO:0000950	IAO:0000115		
WARN	invalid_xref	PHIPO:0000220	oboInOwl:hasDbXref	GO_0008152	
WARN	invalid_xref	PHIPO:0000492	oboInOwl:hasDbXref	GO_0008152	
INFO	lowercase_definition	PHIPO:0000305	IAO:0000115	(Required for successful infection of the host species). The ability of an organism to activate or suppress host defences to enable infectious disease. (Irrespective of the host genotype).	
INFO	lowercase_definition	PHIPO:0000311	IAO:0000115	(gene for gene relationships) or defined from the phenotype described in the published study.    The pathogen has the ability to cause infectious disease dependent upon the gene for gene relationship between the pathogen and host genotype.	
INFO	missing_superclass	PHIPO:0000001	rdfs:subClassOf		
INFO	missing_superclass	PHIPO:0000002	rdfs:subClassOf		
INFO	missing_superclass	PHIPO:0000505	rdfs:subClassOf		
INFO	missing_superclass	PHIPO:0000506	rdfs:subClassOf		
INFO	missing_superclass	PHIPO:0000507	rdfs:subClassOf		
